package,version,direct_or_transitive,declared_range,publish_date_utc,maintainers,osv_vuln_count,npm_signed,npm_provenance_attestation,deprecated
@oozcitak/dom,1.15.10,transitive,,2021-07-29T08:35:19.240Z,oozcitak,0,true,false,false
@oozcitak/infra,1.0.8,transitive,,2020-06-30T08:06:15.704Z,oozcitak,0,true,false,false
@oozcitak/url,1.0.4,transitive,,2020-06-30T08:07:48.040Z,oozcitak,0,true,false,false
@oozcitak/util,8.3.8,transitive,,2020-06-30T08:02:45.247Z,oozcitak,0,true,false,false
@resvg/resvg-js-darwin-arm64,2.6.2,transitive,,2024-03-26T13:43:08.499Z,yisi;qbb.sh;broooooklyn,0,true,false,false
@resvg/resvg-js-linux-arm64-gnu,2.6.2,transitive,,2024-03-26T13:42:42.239Z,yisi;qbb.sh;broooooklyn,0,true,false,false
@resvg/resvg-js-linux-x64-gnu,2.6.2,transitive,,2024-03-26T13:42:16.734Z,yisi;qbb.sh;broooooklyn,0,true,false,false
@resvg/resvg-js-win32-x64-msvc,2.6.2,transitive,,2024-03-26T13:41:53.883Z,yisi;qbb.sh;broooooklyn,0,true,false,false
@resvg/resvg-js,2.6.2,direct,^2.6.2,2024-03-26T13:43:37.598Z,yisi;qbb.sh;broooooklyn,0,true,false,false
ajv-formats,3.0.1,direct,^3.0.1,2024-03-30T11:30:26.728Z,esp;jason-green;additiveamateur,0,true,false,false
ajv,8.20.0,direct,^8.17.1,2026-04-24T15:22:16.529Z,blakeembrey;esp,0,true,false,false
argparse,2.0.1,transitive,,2020-08-28T21:14:26.713Z,vitaly,0,true,false,false
bpmn-moddle,10.1.0,direct,^10.0.0,2026-07-27T15:19:35.183Z,bpmn-io-admin;nikku;barmac;philippfromme;maxtru;skaiir-camunda;vsgoulart;barinali;ev-camunda;jarekdanielak;alekseymanetov,0,true,false,false
elkjs,0.12.0,direct,^0.12.0,2026-07-17T08:07:54.693Z,uruuru;spoenemann;eddykasp;sdo-inf;rt-kieler,0,true,true,false
esprima,4.0.1,transitive,,2018-07-13T08:39:14.711Z,ariya,0,true,false,false
fast-deep-equal,3.1.3,transitive,,2020-06-08T07:27:28.474Z,esp,0,true,false,false
fast-uri,3.1.5,transitive,,2026-07-31T09:16:56.212Z,jsumners;delvedor;matteo.collina;eomm;metcoder95;climba03003;gurgunday;ivan-tymoshenko;fdawgs;zekth,0,true,false,false
js-yaml,4.3.1,direct,^4.1.0,2026-07-31T17:39:51.183Z,vitaly,0,true,false,false
json-schema-traverse,1.0.0,transitive,,2020-12-13T10:56:54.719Z,esp,0,true,false,false
min-dash,5.1.0,transitive,,2026-07-13T11:08:28.266Z,bpmn-io-admin;nikku;barmac;philippfromme;maxtru;skaiir-camunda;vsgoulart;barinali;ev-camunda;jarekdanielak;alekseymanetov,0,true,false,false
moddle-xml,12.1.0,transitive,,2026-07-15T09:00:30.257Z,bpmn-io-admin;nikku;barmac;philippfromme;maxtru;skaiir-camunda;vsgoulart;barinali;ev-camunda;jarekdanielak;alekseymanetov,0,true,false,false
moddle,8.2.1,transitive,,2026-07-27T08:29:59.993Z,bpmn-io-admin;nikku;barmac;philippfromme;maxtru;skaiir-camunda;vsgoulart;barinali;ev-camunda;jarekdanielak;alekseymanetov,0,true,false,false
require-from-string,2.0.2,transitive,,2018-04-09T09:49:47.301Z,floatdrop,0,true,false,false
saxen,11.1.1,transitive,,2026-07-27T09:13:30.665Z,nikku,0,true,false,false
sprintf-js,1.0.3,transitive,,2015-07-10T13:41:29.308Z,alexei,0,true,false,false
xmlbuilder2,3.1.1,direct,^3.1.1,2023-05-09T01:21:48.294Z,oozcitak;universalhandle,0,true,false,false
